epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.4199,1.14259,2.31788,1.48454,0.49224,0.29323,0.18501,0.09879,1.66369,5.54452,2.19237,0.0003636,0.0003636,0.0003636
2,81.0696,1.44889,2.24856,1.70218,0.01993,0.09712,0.01281,0.00544,2.51327,7.44846,2.88246,0.0007303,0.0007303,0.0007303
3,115.898,1.54248,2.37793,1.79274,0.21189,0.03004,0.00263,0.00101,3.38066,6.81879,4.87429,0.00109333,0.00109333,0.00109333
4,149.761,1.52345,2.36634,1.80016,0.25392,0.11536,0.03718,0.01499,2.15526,7.4989,2.94662,0.0010945,0.0010945,0.0010945
5,176.414,1.52372,2.28379,1.76351,0.28225,0.07046,0.05302,0.02523,2.21644,7.40726,2.62264,0.001089,0.001089,0.001089
6,200.594,1.50622,2.23833,1.75518,0.09471,0.27901,0.08291,0.04664,2.21011,4.57163,2.6349,0.0010835,0.0010835,0.0010835
7,224.953,1.47232,2.16457,1.73467,0.50474,0.20337,0.1386,0.06764,2.08515,4.36802,2.37129,0.001078,0.001078,0.001078
8,249.733,1.3748,2.04534,1.63952,0.55352,0.34674,0.34247,0.19093,1.65922,3.2252,2.03723,0.0010725,0.0010725,0.0010725
9,274.776,1.36643,1.98146,1.63449,0.355,0.23076,0.14609,0.08184,1.79391,4.37933,2.16205,0.001067,0.001067,0.001067
10,299.256,1.33598,1.95434,1.62651,0.32576,0.29316,0.28069,0.1532,1.7467,2.68162,2.20916,0.0010615,0.0010615,0.0010615
11,323.864,1.3597,1.95568,1.64302,0.38382,0.23049,0.16185,0.08777,1.93269,3.61739,2.30071,0.00105601,0.00105601,0.00105601
12,348.313,1.28875,1.82664,1.59128,0.33966,0.45809,0.35002,0.19351,1.61832,2.48308,2.07104,0.00105051,0.00105051,0.00105051
13,373.042,1.2504,1.77799,1.55882,0.35915,0.39759,0.37824,0.222,1.56175,2.13117,1.94574,0.00104501,0.00104501,0.00104501
14,397.866,1.27193,1.77915,1.58028,0.5014,0.31124,0.31598,0.19069,1.70356,2.74726,2.10404,0.00103951,0.00103951,0.00103951
15,422.607,1.26394,1.74005,1.57149,0.29563,0.53642,0.34891,0.23153,1.48683,2.18275,1.90568,0.00103401,0.00103401,0.00103401
16,447.694,1.19368,1.70548,1.52281,0.55701,0.43682,0.44227,0.2824,1.48083,2.01902,1.86182,0.00102851,0.00102851,0.00102851
17,472.817,1.22247,1.6873,1.52054,0.40307,0.39387,0.39626,0.2519,1.49439,2.32425,1.88817,0.00102301,0.00102301,0.00102301
18,497.654,1.19408,1.62628,1.52065,0.46939,0.41753,0.38107,0.23806,1.46464,2.19119,1.8813,0.00101751,0.00101751,0.00101751
19,522.355,1.19947,1.62621,1.50975,0.49961,0.49727,0.45298,0.29499,1.48902,1.90576,1.83017,0.00101201,0.00101201,0.00101201
20,547.386,1.1644,1.57386,1.48791,0.54414,0.33677,0.35715,0.22945,1.62416,2.25737,2.09973,0.00100651,0.00100651,0.00100651
21,571.945,1.14095,1.54799,1.47252,0.4853,0.42327,0.37929,0.25699,1.38972,2.17439,1.8023,0.00100101,0.00100101,0.00100101
