epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.7137,1.03469,3.11901,1.3767,0.0128,0.87538,0.26169,0.19606,1.1112,3.30927,1.4862,0.0003636,0.0003636,0.0003636
2,69.417,1.18059,2.50789,1.46849,0.29926,0.29969,0.23642,0.14427,1.53908,2.64521,1.89204,0.0007303,0.0007303,0.0007303
3,93.9487,1.23697,2.33695,1.52192,0.2922,0.36634,0.1717,0.09396,1.45827,3.66417,1.94286,0.00109333,0.00109333,0.00109333
4,118.81,1.24858,2.26886,1.53475,0.32582,0.31769,0.25494,0.13159,1.66685,2.59083,2.20517,0.0010945,0.0010945,0.0010945
5,143.458,1.21791,2.13224,1.4874,0.65569,0.26708,0.33192,0.17446,1.55168,2.41362,1.94611,0.001089,0.001089,0.001089
6,164.966,1.24448,2.03761,1.49813,0.20807,0.17277,0.18003,0.10445,1.60767,2.52396,1.91666,0.0010835,0.0010835,0.0010835
7,175.091,1.1966,1.98779,1.48723,0.43761,0.40225,0.34825,0.22285,1.40283,2.26788,1.76004,0.001078,0.001078,0.001078
8,184.703,1.1617,1.83821,1.44203,0.31461,0.3671,0.31664,0.17073,1.5449,2.42803,2.13808,0.0010725,0.0010725,0.0010725
9,194.222,1.17609,1.78661,1.45528,0.32031,0.52819,0.42533,0.26854,1.4095,2.20869,1.80968,0.001067,0.001067,0.001067
10,203.851,1.14726,1.68029,1.43012,0.62355,0.39817,0.44411,0.2699,1.4936,1.95191,1.93285,0.0010615,0.0010615,0.0010615
11,213.519,1.13447,1.70162,1.42758,0.52961,0.36421,0.43319,0.27053,1.3878,2.20143,1.78968,0.00105601,0.00105601,0.00105601
12,223.071,1.11472,1.61666,1.41327,0.44581,0.42385,0.34817,0.22454,1.41089,2.32967,1.74926,0.00105051,0.00105051,0.00105051
13,232.586,1.08229,1.52359,1.38933,0.38003,0.45175,0.409,0.26074,1.4826,2.10089,1.81345,0.00104501,0.00104501,0.00104501
14,242.035,1.10559,1.56658,1.41458,0.59701,0.40061,0.42859,0.29935,1.26688,1.86341,1.59969,0.00103951,0.00103951,0.00103951
15,251.696,1.07136,1.49543,1.39009,0.56971,0.48218,0.51092,0.35753,1.32431,1.71275,1.6181,0.00103401,0.00103401,0.00103401
16,261.229,1.029,1.45255,1.3489,0.59322,0.43761,0.49397,0.33383,1.32261,1.9015,1.65994,0.00102851,0.00102851,0.00102851
17,270.759,1.0728,1.43753,1.36976,0.51558,0.5111,0.46567,0.31282,1.36553,1.85319,1.71072,0.00102301,0.00102301,0.00102301
18,280.321,1.05132,1.37724,1.36329,0.61302,0.41827,0.47996,0.33537,1.35578,1.81492,1.68023,0.00101751,0.00101751,0.00101751
19,289.863,1.04357,1.36432,1.35804,0.54505,0.51585,0.51782,0.36241,1.30316,1.7201,1.67475,0.00101201,0.00101201,0.00101201
20,299.394,1.00239,1.28939,1.32532,0.50928,0.46538,0.45059,0.31412,1.30853,1.93024,1.66126,0.00100651,0.00100651,0.00100651
21,308.966,1.00431,1.28457,1.33426,0.54708,0.46073,0.47308,0.32892,1.36284,1.84022,1.67899,0.00100101,0.00100101,0.00100101
