epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.2121,1.07882,2.35791,1.39243,0.33127,0.27562,0.22717,0.15462,1.4409,2.90897,1.92244,0.0003636,0.0003636,0.0003636
2,54.7917,1.23235,1.87379,1.49176,0.19285,0.22203,0.11022,0.05846,2.24657,2.8492,2.59705,0.0007303,0.0007303,0.0007303
3,76.5949,1.34744,1.95118,1.59292,0.31138,0.09019,0.07402,0.03602,2.13358,3.65475,2.58201,0.00109333,0.00109333,0.00109333
4,99.4234,1.34975,1.98651,1.6172,0.34322,0.2337,0.18173,0.09405,1.86707,3.3932,2.35572,0.0010945,0.0010945,0.0010945
5,122.907,1.35079,1.93536,1.60202,0.08577,0.16188,0.07736,0.04154,2.35425,4.16453,2.57988,0.001089,0.001089,0.001089
6,145.419,1.33621,1.85467,1.57879,0.32529,0.37757,0.27234,0.14928,1.69841,2.65135,2.0838,0.0010835,0.0010835,0.0010835
7,164.636,1.33053,1.82247,1.59176,0.22913,0.38437,0.25007,0.13554,1.71063,2.69815,2.07811,0.001078,0.001078,0.001078
8,177.459,1.28437,1.73681,1.54473,0.29773,0.30772,0.27358,0.15666,1.61763,2.58218,1.9902,0.0010725,0.0010725,0.0010725
9,190.266,1.25547,1.68253,1.51656,0.38006,0.38199,0.31111,0.18813,1.53717,2.28793,1.89255,0.001067,0.001067,0.001067
10,203.105,1.2262,1.60206,1.49645,0.42461,0.38029,0.37813,0.2535,1.46852,2.0071,1.86184,0.0010615,0.0010615,0.0010615
11,215.883,1.2006,1.60366,1.48844,0.38132,0.39891,0.29209,0.18205,1.6013,2.47034,1.97495,0.00105601,0.00105601,0.00105601
12,228.564,1.17893,1.55778,1.4897,0.41409,0.39365,0.3798,0.20635,1.58712,2.93263,1.96758,0.00105051,0.00105051,0.00105051
13,241.218,1.13397,1.45904,1.4338,0.37035,0.43138,0.34287,0.22217,1.46178,2.19743,1.83861,0.00104501,0.00104501,0.00104501
14,253.879,1.15161,1.47026,1.44946,0.49996,0.43509,0.46706,0.33353,1.32224,1.88639,1.65922,0.00103951,0.00103951,0.00103951
15,266.73,1.11287,1.41421,1.42614,0.67572,0.37235,0.4433,0.29043,1.408,1.91217,1.78656,0.00103401,0.00103401,0.00103401
16,279.466,1.08498,1.39367,1.39903,0.4182,0.46638,0.40559,0.26624,1.51015,2.09597,1.86716,0.00102851,0.00102851,0.00102851
17,292.202,1.09787,1.34771,1.40095,0.4633,0.51713,0.43965,0.28078,1.43251,1.91075,1.7852,0.00102301,0.00102301,0.00102301
18,304.841,1.08005,1.32435,1.38923,0.53093,0.46161,0.44817,0.27653,1.43367,1.84851,1.8115,0.00101751,0.00101751,0.00101751
19,317.555,1.09467,1.3455,1.40747,0.49942,0.47503,0.44533,0.27078,1.51258,1.94719,1.84049,0.00101201,0.00101201,0.00101201
20,330.224,1.04477,1.27355,1.37112,0.54085,0.51037,0.5187,0.35808,1.33543,1.86014,1.72768,0.00100651,0.00100651,0.00100651
21,343.047,1.00384,1.25023,1.35353,0.59635,0.43509,0.50367,0.34193,1.32811,1.87199,1.71436,0.00100101,0.00100101,0.00100101
22,355.665,1.02155,1.20508,1.35702,0.54464,0.50982,0.5162,0.37454,1.29271,1.85496,1.63775,0.000995512,0.000995512,0.000995512
23,368.468,0.99882,1.18541,1.33356,0.56335,0.48785,0.50111,0.32543,1.41266,1.69104,1.82144,0.000990012,0.000990012,0.000990012
24,381.1,1.01964,1.17712,1.34695,0.4092,0.54856,0.46384,0.31405,1.36733,1.84578,1.69858,0.000984513,0.000984513,0.000984513
25,393.672,0.99096,1.13458,1.32655,0.4885,0.48442,0.45035,0.30771,1.37562,1.81495,1.71938,0.000979013,0.000979013,0.000979013
