epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1761.48,0.41561,1.20197,1.0384,0.96581,0.96031,0.98849,0.81339,0.64051,0.84559,1.27696,0.000663383,0.000663383,0.000663383
2,3589.51,0.46961,0.4462,1.07947,0.89962,0.92583,0.96901,0.78001,0.64356,0.72672,1.24974,0.00119837,0.00119837,0.00119837
3,5507.09,0.48236,0.32071,1.08835,0.94977,0.95365,0.98604,0.80957,0.67494,0.51549,1.28218,0.00160137,0.00160137,0.00160137
4,7632.72,0.45992,0.2825,1.07053,0.9694,0.96477,0.99139,0.86705,0.54,0.40427,1.13332,0.001406,0.001406,0.001406
5,9713.3,0.41718,0.24659,1.03638,0.98995,0.99691,0.99489,0.92928,0.41617,0.24406,1.01044,0.001208,0.001208,0.001208
6,11793.9,0.39435,0.22611,1.01651,0.99814,0.99364,0.99497,0.9355,0.39247,0.2228,0.99534,0.00101,0.00101,0.00101
7,13911,0.36755,0.20458,0.99746,0.99692,0.99926,0.99499,0.94295,0.37561,0.19971,0.97825,0.000812,0.000812,0.000812
8,15767.9,0.35176,0.18965,0.98794,0.99814,0.99729,0.99493,0.94061,0.37537,0.19108,0.97507,0.000614,0.000614,0.000614
9,17572.1,0.33296,0.17394,0.9732,0.99686,0.99938,0.99499,0.94996,0.34925,0.16879,0.95219,0.000416,0.000416,0.000416
10,19496.3,0.31754,0.15793,0.95933,0.99938,0.99746,0.99499,0.95165,0.33962,0.15933,0.94657,0.000218,0.000218,0.000218
