epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,173.286,0.42542,1.24075,1.05035,0.92552,0.89091,0.97087,0.79518,0.6459,0.69505,1.4107,0.000663383,0.000663383,0.000663383
2,301.521,0.47511,0.45863,1.08436,0.97388,0.94252,0.98674,0.81748,0.63723,0.44519,1.32652,0.00119837,0.00119837,0.00119837
3,429.758,0.48306,0.32806,1.0888,0.95517,0.97457,0.98458,0.82432,0.63455,0.60796,1.29496,0.00160137,0.00160137,0.00160137
4,563.016,0.45474,0.28405,1.06499,0.9699,0.97592,0.98746,0.8564,0.57661,0.42565,1.22422,0.001406,0.001406,0.001406
5,690.524,0.41594,0.24911,1.03808,0.99258,0.99567,0.99486,0.90778,0.45566,0.26424,1.04544,0.001208,0.001208,0.001208
6,817.478,0.38924,0.22672,1.01116,0.99261,0.99583,0.99487,0.92635,0.40982,0.2246,1.01067,0.00101,0.00101,0.00101
7,945.324,0.36997,0.20832,0.9983,0.99834,0.99753,0.99499,0.93712,0.38305,0.20039,0.98319,0.000812,0.000812,0.000812
8,1072.49,0.34986,0.18946,0.98395,0.99568,0.99706,0.99495,0.9413,0.38242,0.2008,0.98431,0.000614,0.000614,0.000614
9,1202.87,0.33302,0.1781,0.97263,0.99815,0.99807,0.99493,0.94607,0.36222,0.18745,0.96446,0.000416,0.000416,0.000416
10,1333.73,0.32031,0.16408,0.96419,0.99815,0.99847,0.99498,0.95156,0.34626,0.16371,0.95033,0.000218,0.000218,0.000218
